[2025-02-13 14:25:42.700913] Scan started.
[2025-02-13 14:25:42.700913] Results will be stored in: C:\Users\rybrinkman\OneDrive\programming\python\vs-code\port-scanner\logs\scan-2025-02-13-14-25-42
[2025-02-13 14:27:35.384814] Target resolved: 192.168.24.11
[2025-02-13 14:27:38.220173] Performing Full Scan (1-65535).
[2025-02-13 14:27:43.232106] Port 6 is CLOSED
[2025-02-13 14:27:43.234105] Port 11 is CLOSED
[2025-02-13 14:27:43.235111] Port 3 is CLOSED

[2025-02-13 14:27:43.235111] Port 14 is CLOSED
[2025-02-13 14:27:43.235111] Port 4 is CLOSED

[2025-02-13 14:27:43.236108] Port 5 is CLOSED
[2025-02-13 14:27:43.237474] Port 8 is CLOSED
[2025-02-13 14:27:43.244422] Port 19 is CLOSED
[2025-02-13 14:27:43.249544] Port 22 is CLOSED
[2025-02-13 14:27:43.249544] Port 30 is CLOSED
[2025-02-13 14:27:43.249544] Port 25 is CLOSED
[2025-02-13 14:27:43.253544] Port 26 is CLOSED
[2025-02-13 14:27:43.253834] Port 45 is CLOSED
[2025-02-13 14:27:43.253834] Port 41 is CLOSED
[2025-02-13 14:27:43.253834] Port 18 is CLOSED
[2025-02-13 14:27:43.256779] Port 29 is CLOSED
[2025-02-13 14:27:43.256779] Port 37 is CLOSED
[2025-02-13 14:27:43.263638] Port 51 is CLOSED
[2025-02-13 14:27:43.263638] Port 21 is CLOSED
[2025-02-13 14:27:43.264683] Port 43 is CLOSED
[2025-02-13 14:27:43.267692] Port 24 is CLOSED
[2025-02-13 14:27:43.269184] Port 71 is CLOSED
[2025-02-13 14:27:43.270391] Port 100 is CLOSED[[2025-02-13 14:27:43.270391] Port 40 is CLOSED[[2025-02-13 14:27:43.270391] Port 74 is CLOSED[2025-02-13 14:27:43.270391] Port 93 is CLOSED
[2025-02-13 14:27:43.271471] Port 79 is CLOSED
[2025-02-13 14:27:43.271471] Port 67 is CLOSED
[2025-02-13 14:27:43.271471] Port 98 is CLOSED
[2025-02-13 14:27:43.273777] Port 114 is CLOSED
[2025-02-13 14:27:43.276057] Port 53 is CLOSED
[2025-02-13 14:27:43.315861] Port 70 is CLOSED

[2025-02-13 14:27:43.316861] Port 60 is CLOSED
[2025-02-13 14:27:43.318539] Port 84 is CLOSED

[2025-02-13 14:27:43.318539] Port 91 is CLOSED

[2025-02-13 14:27:43.326425] Port 34 is CLOSED
[[2025-02-13 14:27:43.335650] Port 149 is CLOSED
[2025-02-13 14:27:43.337509] Port 189 is CLOSED
[2025-02-13 14:27:43.350179] Port 165 is CLOSED
[2025-02-13 14:27:43.351490] Port 103 is CLOSED
[2025-02-13 14:27:43.355640] Port 270 is CLOSED
[2025-02-13 14:27:43.357096] Port 160 is CLOSED
[2025-02-13 14:27:43.358263] Port 217 is CLOSED
[2025-02-13 14:27:43.363750] Port 204 is CLOSED
[2025-02-13 14:27:43.363750] Port 162 is CLOSED
[2025-02-13 14:27:43.365180] Port 298 is CLOSED
[2025-02-13 14:27:43.367103] Port 235 is CLOSED
[2025-02-13 14:27:43.367878] Port 195 is CLOSED
[2025-02-13 14:27:43.371025] Port 226 is CLOSED
[2025-02-13 14:27:43.371025] Port 188 is CLOSED
[2025-02-13 14:27:43.371025] Port 285 is CLOSED
[2025-02-13 14:27:43.372598] Port 296 is CLOSED
[2025-02-13 14:27:43.372598] Port 161 is CLOSED
[2025-02-13 14:27:43.373187] Port 326 is CLOSED
[2025-02-13 14:27:43.374119] Port 210 is CLOSED
[2025-02-13 14:27:43.377718] Port 212 is CLOSED
[2025-02-13 14:27:43.382056] Port 131 is CLOSED
[2025-02-13 14:27:43.382056] Port 291 is CLOSED
[2025-02-13 14:27:43.389109] Port 215 is CLOSED
[2025-02-13 14:27:43.393468] Port 274 is CLOSED
[2025-02-13 14:27:43.393468] Port 290 is CLOSED
[2025-02-13 14:27:43.396305] Port 287 is CLOSED
[2025-02-13 14:27:43.397572] Port 389 is CLOSED
[2025-02-13 14:27:43.398581] Port 392 is CLOSED
[2025-02-13 14:27:43.400045] Port 158 is CLOSED
[2025-02-13 14:27:43.400045] Port 315 is CLOSED
[2025-02-13 14:27:43.400045] Port 292 is CLOSED
[2025-02-13 14:27:43.400045] Port 355 is CLOSED
[2025-02-13 14:27:43.401053] Port 309 is CLOSED
[2025-02-13 14:27:43.401053] Port 372 is CLOSED
[2025-02-13 14:27:43.404463] Port 190 is CLOSED
[2025-02-13 14:27:43.405843] Port 139 is CLOSED
[2025-02-13 14:27:43.408941] Port 211 is CLOSED
[2025-02-13 14:27:43.409980] Port 371 is CLOSED
[2025-02-13 14:27:43.414685] Port 374 is CLOSED
[2025-02-13 14:27:43.416097] Port 150 is CLOSED
[2025-02-13 14:27:43.416097] Port 135 is CLOSED
[2025-02-13 14:27:43.417994] Port 394 is CLOSED
[2025-02-13 14:27:43.420025] Port 343 is CLOSED
[2025-02-13 14:27:43.421440] Port 351 is CLOSED
[2025-02-13 14:27:43.422086] Port 445 is CLOSED
[2025-02-13 14:27:43.422922] Port 431 is CLOSED
[2025-02-13 14:27:43.427245] Port 350 is CLOSED
[2025-02-13 14:27:43.427245] Port 359 is CLOSED
[2025-02-13 14:27:43.429557] Port 438 is CLOSED
[2025-02-13 14:27:43.431556] Port 417 is CLOSED
[2025-02-13 14:27:43.431556] Port 406 is CLOSED
[2025-02-13 14:27:43.432753] Port 413 is CLOSED
[2025-02-13 14:27:43.433762] Port 471 is CLOSED
[2025-02-13 14:27:43.436764] Port 410 is CLOSED
[2025-02-13 14:27:43.438633] Port 426 is CLOSED
[2025-02-13 14:27:43.438633] Port 415 is CLOSED
[2025-02-13 14:27:43.438633] Port 460 is CLOSED
[2025-02-13 14:27:43.439663] Port 502 is CLOSED
[2025-02-13 14:27:43.439663] Port 421 is CLOSED
[2025-02-13 14:27:43.439663] Port 510 is CLOSED
[2025-02-13 14:27:43.441470] Port 414 is CLOSED
[2025-02-13 14:27:43.443355] Port 423 is CLOSED
[2025-02-13 14:27:43.446258] Port 491 is CLOSED
[2025-02-13 14:27:43.449122] Port 480 is CLOSED
[2025-02-13 14:27:43.451447] Port 490 is CLOSED
[2025-02-13 14:27:43.454760] Port 430 is CLOSED
[2025-02-13 14:27:43.456901] Port 492 is CLOSED
[2025-02-13 14:27:43.458323] Port 428 is CLOSED
[2025-02-13 14:27:43.460852] Port 419 is CLOSED
[2025-02-13 14:27:43.462957] Port 508 is CLOSED
[2025-02-13 14:27:43.463957] Port 462 is CLOSED
[2025-02-13 14:27:43.465232] Port 513 is CLOSED
[2025-02-13 14:27:43.466458] Port 443 is CLOSED
[2025-02-13 14:27:43.466458] Port 475 is CLOSED
[2025-02-13 14:27:43.467466] Port 593 is CLOSED
[2025-02-13 14:27:43.467466] Port 422 is CLOSED
[2025-02-13 14:27:43.471770] Port 552 is CLOSED
[2025-02-13 14:27:43.474207] Port 524 is CLOSED
[2025-02-13 14:27:43.479252] Port 515 is CLOSED
[2025-02-13 14:27:43.480261] Port 534 is CLOSED
[2025-02-13 14:27:43.481260] Port 532 is CLOSED
[2025-02-13 14:27:43.482311] Port 565 is CLOSED
[2025-02-13 14:27:43.483259] Port 577 is CLOSED
[2025-02-13 14:27:43.484531] Port 570 is CLOSED
[2025-02-13 14:27:43.484531] Port 537 is CLOSED
[2025-02-13 14:27:43.487778] Port 576 is CLOSED
[2025-02-13 14:27:43.490044] Port 607 is CLOSED
[2025-02-13 14:27:43.491045] Port 590 is CLOSED
[2025-02-13 14:27:43.493458] Port 592 is CLOSED
[2025-02-13 14:27:43.494467] Port 531 is CLOSED
[2025-02-13 14:27:43.495467] Port 561 is CLOSED
[2025-02-13 14:27:43.495467] Port 558 is CLOSED
[2025-02-13 14:27:43.496508] Port 526 is CLOSED
[2025-02-13 14:27:43.498759] Port 522 is CLOSED
[2025-02-13 14:27:43.498759] Port 564 is CLOSED
[2025-02-13 14:27:43.500113] Port 477 is CLOSED
[2025-02-13 14:27:43.500113] Port 579 is CLOSED
[2025-02-13 14:27:43.501129] Port 398 is CLOSED
[2025-02-13 14:27:43.501129] Port 641 is CLOSED
[2025-02-13 14:27:43.502462] Port 568 is CLOSED
[2025-02-13 14:27:43.504627] Port 518 is CLOSED
[2025-02-13 14:27:43.507099] Port 603 is CLOSED
[2025-02-13 14:27:43.508585] Port 640 is CLOSED
[2025-02-13 14:27:43.511362] Port 618 is CLOSED
[2025-02-13 14:27:43.511871] Port 614 is CLOSED
[2025-02-13 14:27:43.512880] Port 622 is CLOSED
[2025-02-13 14:27:43.513991] Port 612 is CLOSED
[2025-02-13 14:27:43.513991] Port 645 is CLOSED
[2025-02-13 14:27:43.517198] Port 562 is CLOSED
[2025-02-13 14:27:43.517198] Port 654 is CLOSED
[2025-02-13 14:27:43.519846] Port 658 is CLOSED
[2025-02-13 14:27:43.524021] Port 657 is CLOSED
[2025-02-13 14:27:43.526439] Port 673 is CLOSED
[2025-02-13 14:27:43.526439] Port 659 is CLOSED
[2025-02-13 14:27:43.528691] Port 627 is CLOSED
[2025-02-13 14:27:43.529782] Port 652 is CLOSED
[2025-02-13 14:27:43.529782] Port 701 is CLOSED
[2025-02-13 14:27:43.530851] Port 663 is CLOSED
[2025-02-13 14:27:43.533954] Port 623 is CLOSED
[2025-02-13 14:27:43.535024] Port 679 is CLOSED
[2025-02-13 14:27:43.546184] Port 723 is CLOSED
[2025-02-13 14:27:43.548897] Port 683 is CLOSED
[2025-02-13 14:27:43.557494] Port 784 is CLOSED
[2025-02-13 14:27:43.558328] Port 731 is CLOSED
[2025-02-13 14:27:43.562225] Port 768 is CLOSED
[2025-02-13 14:27:43.562225] Port 785 is CLOSED
[2025-02-13 14:27:43.564334] Port 787 is CLOSED
[2025-02-13 14:27:43.566787] Port 783 is CLOSED
[2025-02-13 14:27:43.566787] Port 770 is CLOSED
[2025-02-13 14:27:43.571901] Port 699 is CLOSED
[2025-02-13 14:27:43.572464] Port 755 is CLOSED
[2025-02-13 14:27:43.572464] Port 734 is CLOSED
[2025-02-13 14:27:43.573595] Port 786 is CLOSED
[2025-02-13 14:27:43.576874] Port 754 is CLOSED
[2025-02-13 14:27:43.577887] Port 857 is CLOSED
[2025-02-13 14:27:43.578885] Port 853 is CLOSED
[2025-02-13 14:27:43.584326] Port 828 is CLOSED
[2025-02-13 14:27:43.586799] Port 807 is CLOSED
[2025-02-13 14:27:43.589414] Port 844 is CLOSED
[2025-02-13 14:27:43.590606] Port 837 is CLOSED
[2025-02-13 14:27:43.590606] Port 814 is CLOSED
[2025-02-13 14:27:43.593747] Port 808 is CLOSED
[2025-02-13 14:27:43.595099] Port 838 is CLOSED
[2025-02-13 14:27:43.597121] Port 845 is CLOSED
[2025-02-13 14:27:43.597121] Port 843 is CLOSED
[2025-02-13 14:27:43.599522] Port 888 is CLOSED
[2025-02-13 14:27:43.605187] Port 884 is CLOSED
[2025-02-13 14:27:43.607915] Port 879 is CLOSED
[2025-02-13 14:27:43.607915] Port 894 is CLOSED
[2025-02-13 14:27:43.613156] Port 892 is CLOSED
[2025-02-13 14:27:43.615902] Port 876 is CLOSED
[2025-02-13 14:27:43.621578] Port 925 is CLOSED
[2025-02-13 14:27:43.625289] Port 912 is CLOSED
[2025-02-13 14:27:43.627752] Port 913 is CLOSED
[2025-02-13 14:27:43.628903] Port 918 is CLOSED
[2025-02-13 14:27:43.628903] Port 923 is CLOSED
[2025-02-13 14:27:43.628903] Port 922 is CLOSED
[2025-02-13 14:27:43.630332] Port 915 is CLOSED
[2025-02-13 14:27:43.632711] Port 926 is CLOSED
[2025-02-13 14:27:43.636799] Port 914 is CLOSED
[2025-02-13 14:27:43.636799] Port 928 is CLOSED
[2025-02-13 14:27:43.641094] Port 861 is CLOSED
[2025-02-13 14:27:43.645885] Port 938 is CLOSED
[2025-02-13 14:27:43.645885] Port 947 is CLOSED
[2025-02-13 14:27:43.646902] Port 932 is CLOSED
[2025-02-13 14:27:43.651193] Port 948 is CLOSED
[2025-02-13 14:27:43.651193] Port 979 is CLOSED
[2025-02-13 14:27:43.653780] Port 967 is CLOSED
[2025-02-13 14:27:43.654418] Port 942 is CLOSED
[2025-02-13 14:27:43.657094] Port 966 is CLOSED
[2025-02-13 14:27:43.657094] Port 986 is CLOSED
[2025-02-13 14:27:43.658606] Port 973 is CLOSED
[2025-02-13 14:27:43.663706] Port 989 is CLOSED
[2025-02-13 14:27:43.666152] Port 992 is CLOSED
[2025-02-13 14:27:43.667161] Port 995 is CLOSED
[2025-02-13 14:27:43.670992] Port 964 is CLOSED
[2025-02-13 14:27:43.671758] Port 981 is CLOSED
[2025-02-13 14:27:43.673107] Port 997 is CLOSED
[2025-02-13 14:27:43.674542] Port 1035 is CLOSED
[2025-02-13 14:27:43.675258] Port 1036 is CLOSED
[2025-02-13 14:27:43.679098] Port 1006 is CLOSED
[2025-02-13 14:27:43.679098] Port 1040 is CLOSED
[2025-02-13 14:27:43.680271] Port 1013 is CLOSED
[2025-02-13 14:27:43.680271] Port 1030 is CLOSED
[2025-02-13 14:27:43.680271] Port 999 is CLOSED
[2025-02-13 14:27:43.681333] Port 1021 is CLOSED
[2025-02-13 14:27:43.685364] Port 1015 is CLOSED
[2025-02-13 14:27:43.685364] Port 1054 is CLOSED
[2025-02-13 14:27:43.687713] Port 1027 is CLOSED
[2025-02-13 14:27:43.689597] Port 1082 is CLOSED
[2025-02-13 14:27:43.690257] Port 1047 is CLOSED
[2025-02-13 14:27:43.691945] Port 1100 is CLOSED
[2025-02-13 14:27:43.691945] Port 1068 is CLOSED
[2025-02-13 14:27:43.691945] Port 1071 is CLOSED
[2025-02-13 14:27:43.693323] Port 1072 is CLOSED
[2025-02-13 14:27:43.699481] Port 1044 is CLOSED
[2025-02-13 14:27:43.699481] Port 1002 is CLOSED
[2025-02-13 14:27:43.700489] Port 1083 is CLOSED
[2025-02-13 14:27:43.702319] Port 1001 is CLOSED
[2025-02-13 14:27:43.705617] Port 1085 is CLOSED
[2025-02-13 14:27:43.706194] Port 1148 is CLOSED
[2025-02-13 14:27:43.707972] Port 1063 is CLOSED
[2025-02-13 14:27:43.707972] Port 1084 is CLOSED
[2025-02-13 14:27:43.708583] Port 1111 is CLOSED
[2025-02-13 14:27:43.708583] Port 1077 is CLOSED
[2025-02-13 14:27:43.708583] Port 1104 is CLOSED
[2025-02-13 14:27:43.709856] Port 1034 is CLOSED
[2025-02-13 14:27:43.709856] Port 1182 is CLOSED
[2025-02-13 14:27:43.713173] Port 1116 is CLOSED
[2025-02-13 14:27:43.714182] Port 1120 is CLOSED
[2025-02-13 14:27:43.715477] Port 1157 is CLOSED
[2025-02-13 14:27:43.716944] Port 1138 is CLOSED
[2025-02-13 14:27:43.718693] Port 1115 is CLOSED
[2025-02-13 14:27:43.718693] Port 1161 is CLOSED
[2025-02-13 14:27:43.720449] Port 1143 is CLOSED
[2025-02-13 14:27:43.722559] Port 1179 is CLOSED
[2025-02-13 14:27:43.723220] Port 1122 is CLOSED
[2025-02-13 14:27:43.724329] Port 1126 is CLOSED
[2025-02-13 14:27:43.724845] Port 1235 is CLOSED
[2025-02-13 14:27:43.725319] Port 1201 is CLOSED
[2025-02-13 14:27:43.725319] Port 1160 is CLOSED
[2025-02-13 14:27:43.726616] Port 1188 is CLOSED
[2025-02-13 14:27:43.727616] Port 1129 is CLOSED
[2025-02-13 14:27:43.728624] Port 1229 is CLOSED
[2025-02-13 14:27:43.730977] Port 1193 is CLOSED
[2025-02-13 14:27:43.731986] Port 1130 is CLOSED
[2025-02-13 14:27:43.738042] Port 1269 is CLOSED
[2025-02-13 14:27:43.740422] Port 1210 is CLOSED
[2025-02-13 14:27:43.740422] Port 1262 is CLOSED
[2025-02-13 14:27:43.741372] Port 1251 is CLOSED
[2025-02-13 14:27:43.744942] Port 1242 is CLOSED
[2025-02-13 14:27:43.745944] Port 1249 is CLOSED
[2025-02-13 14:27:43.749958] Port 1276 is CLOSED
[2025-02-13 14:27:43.754500] Port 1329 is CLOSED
[2025-02-13 14:27:43.755128] Port 1310 is CLOSED
[2025-02-13 14:27:43.756360] Port 1312 is CLOSED
[2025-02-13 14:27:43.758195] Port 1323 is CLOSED
[2025-02-13 14:27:43.762825] Port 1367 is CLOSED
[2025-02-13 14:27:43.762825] Port 1304 is CLOSED
[2025-02-13 14:27:43.766201] Port 1376 is CLOSED
[2025-02-13 14:27:43.767670] Port 1303 is CLOSED
[2025-02-13 14:27:43.767670] Port 1342 is CLOSED
[2025-02-13 14:27:43.769693] Port 1363 is CLOSED
[2025-02-13 14:27:43.770809] Port 1356 is CLOSED
[2025-02-13 14:27:43.770809] Port 1393 is CLOSED
[2025-02-13 14:27:43.771643] Port 1327 is CLOSED
[2025-02-13 14:27:43.772472] Port 1375 is CLOSED
[2025-02-13 14:27:43.772472] Port 1374 is CLOSED
[2025-02-13 14:27:43.774419] Port 1381 is CLOSED
[2025-02-13 14:27:43.775758] Port 1341 is CLOSED
[2025-02-13 14:27:43.779952] Port 1406 is CLOSED
[2025-02-13 14:27:43.780957] Port 1384 is CLOSED
[2025-02-13 14:27:43.780957] Port 1417 is CLOSED
[2025-02-13 14:27:43.780957] Port 1343 is CLOSED
[2025-02-13 14:27:43.782180] Port 1433 is CLOSED
[2025-02-13 14:27:43.780957] Port 1396 is CLOSED
[2025-02-13 14:27:43.783578] Port 1420 is CLOSED
[2025-02-13 14:27:43.786096] Port 1434 is CLOSED
[2025-02-13 14:27:43.786096] Port 1383 is CLOSED
[2025-02-13 14:27:43.787004] Port 1403 is CLOSED
[2025-02-13 14:27:43.789514] Port 1416 is CLOSED
[2025-02-13 14:27:43.790596] Port 1453 is CLOSED
[2025-02-13 14:27:43.792267] Port 1449 is CLOSED
[2025-02-13 14:27:43.794579] Port 1435 is CLOSED
[2025-02-13 14:27:43.795086] Port 1431 is CLOSED
[2025-02-13 14:27:43.796578] Port 1457 is CLOSED
[2025-02-13 14:27:43.797748] Port 1448 is CLOSED
[2025-02-13 14:27:43.799052] Port 1455 is CLOSED
[2025-02-13 14:27:43.800381] Port 1469 is CLOSED
[2025-02-13 14:27:43.801387] Port 1447 is CLOSED
[2025-02-13 14:27:43.802396] Port 1452 is CLOSED
[2025-02-13 14:27:43.803769] Port 1440 is CLOSED
[2025-02-13 14:27:43.808465] Port 1499 is CLOSED
[2025-02-13 14:27:43.809601] Port 1479 is CLOSED
[2025-02-13 14:27:43.813057] Port 1518 is CLOSED
[2025-02-13 14:27:43.816912] Port 1468 is CLOSED
[2025-02-13 14:27:43.818258] Port 1481 is CLOSED
[2025-02-13 14:27:43.819850] Port 1471 is CLOSED
[2025-02-13 14:27:43.823628] Port 1544 is CLOSED
[2025-02-13 14:27:43.824638] Port 1528 is CLOSED
[2025-02-13 14:27:43.828847] Port 1531 is CLOSED
[2025-02-13 14:27:43.832065] Port 1538 is CLOSED
[2025-02-13 14:27:43.838988] Port 1552 is CLOSED
[2025-02-13 14:27:43.856655] Port 1559 is CLOSED
[2025-02-13 14:27:43.857221] Port 1562 is CLOSED
[2025-02-13 14:27:43.862630] Port 1558 is CLOSED
[2025-02-13 14:27:43.863863] Port 1578 is CLOSED
[2025-02-13 14:27:43.869618] Port 1568 is CLOSED
[2025-02-13 14:27:43.871249] Port 1571 is CLOSED
[2025-02-13 14:27:43.871249] Port 1574 is CLOSED
[2025-02-13 14:27:43.872521] Port 1582 is CLOSED
[2025-02-13 14:27:43.884299] Port 1569 is CLOSED
[2025-02-13 14:27:43.887387] Port 1564 is CLOSED
[2025-02-13 14:27:43.901414] Port 1586 is CLOSED
[2025-02-13 14:27:43.903592] Port 1592 is CLOSED
[2025-02-13 14:27:43.906462] Port 1591 is CLOSED
[2025-02-13 14:27:43.909788] Port 1638 is CLOSED
[2025-02-13 14:27:43.912303] Port 1624 is CLOSED
[2025-02-13 14:27:43.914269] Port 1649 is CLOSED
[2025-02-13 14:27:43.915647] Port 1599 is CLOSED
[2025-02-13 14:27:43.915647] Port 1645 is CLOSED
[2025-02-13 14:27:43.915647] Port 1625 is CLOSED
[2025-02-13 14:27:43.916842] Port 1601 is CLOSED
[2025-02-13 14:27:43.916842] Port 1629 is CLOSED
[2025-02-13 14:27:43.919289] Port 1602 is CLOSED
[2025-02-13 14:27:43.920570] Port 1626 is CLOSED
[2025-02-13 14:27:43.920570] Port 1619 is CLOSED
[2025-02-13 14:27:43.921835] Port 1630 is CLOSED
[2025-02-13 14:27:43.921835] Port 1647 is CLOSED
[2025-02-13 14:27:43.923212] Port 1614 is CLOSED
[2025-02-13 14:27:43.927992] Port 1650 is CLOSED
[2025-02-13 14:27:43.930242] Port 1662 is CLOSED
[2025-02-13 14:27:43.931516] Port 1678 is CLOSED
[2025-02-13 14:27:43.931516] Port 1697 is CLOSED
[2025-02-13 14:27:43.932524] Port 1705 is CLOSED
[2025-02-13 14:27:43.933525] Port 1685 is CLOSED
[2025-02-13 14:27:43.933525] Port 1692 is CLOSED
