[2025-02-26 19:16:19.068031] Scan started.
[2025-02-26 19:16:19.071644] Results will be stored in: C:\Users\rybrinkman\OneDrive\programming\python\vs-code\port-scanner\logs\scan-2025-02-26-19-16-19
[2025-02-26 19:16:41.524885] Target resolved: 192.168.19.1
[2025-02-26 19:16:45.238388] Performing Full Scan (1-65535).
[2025-02-26 19:16:45.299757] Port 53 is OPEN
[2025-02-26 19:16:50.180617] Port 5012 is OPEN
[2025-02-26 19:16:50.182621] Port 5013 is OPEN
[2025-02-26 19:16:50.247013] Port 5033 is OPEN
[2025-02-26 19:16:50.272317] Port 6 is CLOSED
[[2025-02-26 19:16:50.272317] Port 13 is CLOSED
[2025-02-26 19:16:50.272317] Port 10 is CLOSED
2025-02-26 19:16:50.273703] Port 2 is CLOSED
[2025-02-26 19:16:50.273703] Port 12 is CLOSED
[2025-02-26 19:16:50.275237] Port 4 is CLOSED
[2025-02-26 19:16:50.276688] Port 20 is CLOSED
[2025-02-26 19:16:50.283248] Port 23 is CLOSED
[2025-02-26 19:16:50.284240] Port 17 is CLOSED
[2025-02-26 19:16:50.285239] Port 19 is CLOSED
[2025-02-26 19:16:50.286258] Port 33 is CLOSED
[2025-02-26 19:16:50.286258] Port 28 is CLOSED
[2025-02-26 19:16:50.287246] Port 30 is CLOSED
[2025-02-26 19:16:50.288276] Port 35 is CLOSED
[2025-02-26 19:16:50.288786] Port 34 is CLOSED
[2025-02-26 19:16:50.300425] Port 36 is CLOSED
[2025-02-26 19:16:50.302438] Port 43 is CLOSED
[2025-02-26 19:16:50.302438] Port 39 is CLOSED
[2025-02-26 19:16:50.303430] Port 48 is CLOSED
[2025-02-26 19:16:50.303430] Port 47 is CLOSED
[2025-02-26 19:16:50.304440] Port 38 is CLOSED
[2025-02-26 19:16:50.304440] Port 46 is CLOSED
[2025-02-26 19:16:50.315156] Port 29 is CLOSED
[2025-02-26 19:16:50.321957] Port 61 is CLOSED
[2025-02-26 19:16:50.324951] Port 64 is CLOSED
[2025-02-26 19:16:50.326945] Port 58 is CLOSED
[2025-02-26 19:16:50.328477] Port 70 is CLOSED
[2025-02-26 19:16:50.328477] Port 81 is CLOSED
[2025-02-26 19:16:50.329905] Port 72 is CLOSED
[2025-02-26 19:16:50.330921] Port 78 is CLOSED
