[2025-02-13 14:16:57.843815] Port 530 is CLOSED
[2025-02-13 14:16:57.844822] Port 543 is CLOSED
[2025-02-13 14:16:57.847138] Port 572 is CLOSED
[2025-02-13 14:16:57.849973] Port 558 is CLOSED
[2025-02-13 14:16:57.849973] Port 486 is CLOSED
[2025-02-13 14:16:57.849973] Port 575 is CLOSED
[2025-02-13 14:16:57.852537] Port 509 is CLOSED
[2025-02-13 14:16:57.853798] Port 512 is CLOSED
[2025-02-13 14:16:57.853798] Port 557 is CLOSED
[2025-02-13 14:16:57.854806] Port 521 is CLOSED
[2025-02-13 14:16:57.854806] Port 515 is CLOSED
[2025-02-13 14:16:57.854806] Port 463 is CLOSED
[2025-02-13 14:16:57.856207] Port 551 is CLOSED
[2025-02-13 14:16:57.857214] Port 487 is CLOSED
[2025-02-13 14:16:57.858217] Port 568 is CLOSED
[2025-02-13 14:16:57.860441] Port 587 is CLOSED
[2025-02-13 14:16:57.861526] Port 677 is CLOSED
[2025-02-13 14:16:57.863331] Port 571 is CLOSED
[2025-02-13 14:16:57.864243] Port 599 is CLOSED
[2025-02-13 14:16:57.865065] Port 607 is CLOSED
[2025-02-13 14:16:57.865065] Port 537 is CLOSED
[2025-02-13 14:16:57.865902] Port 527 is CLOSED
[2025-02-13 14:16:57.865902] Port 576 is CLOSED
[2025-02-13 14:16:57.867796] Port 581 is CLOSED
[2025-02-13 14:16:57.867796] Port 661 is CLOSED
[2025-02-13 14:16:57.869175] Port 614 is CLOSED
[2025-02-13 14:16:57.869175] Port 497 is CLOSED
[2025-02-13 14:16:57.870235] Port 531 is CLOSED
[2025-02-13 14:16:57.870754] Port 593 is CLOSED
[2025-02-13 14:16:57.870754] Port 604 is CLOSED
[2025-02-13 14:16:57.871973] Port 525 is CLOSED
[2025-02-13 14:16:57.873198] Port 620 is CLOSED
[2025-02-13 14:16:57.875615] Port 674 is CLOSED
[2025-02-13 14:16:57.878367] Port 602 is CLOSED
[2025-02-13 14:16:57.879948] Port 625 is CLOSED
[2025-02-13 14:16:57.880465] Port 595 is CLOSED
[2025-02-13 14:16:57.881669] Port 690 is CLOSED
[2025-02-13 14:16:57.882224] Port 643 is CLOSED
[2025-02-13 14:16:57.883893] Port 710 is CLOSED
[2025-02-13 14:16:57.883893] Port 736 is CLOSED
[2025-02-13 14:16:57.883893] Port 526 is CLOSED
[2025-02-13 14:16:57.883893] Port 611 is CLOSED
[2025-02-13 14:16:57.885329] Port 516 is CLOSED
[2025-02-13 14:16:57.885329] Port 678 is CLOSED
[2025-02-13 14:16:57.886106] Port 665 is CLOSED
[2025-02-13 14:16:57.887291] Port 727 is CLOSED
